Date,NP_Petrol(NRs/ltr),NP_Diesel(NRs/ltr),NP_LPgas(NRs/cylinder),NP_Kerosene(NRs/ltr),IN_Petrol(NRs/ltr),IN_Diesel(NRs/ltr),IN_Kerosene(NRs/ltr)
4/4/1996,31,13.5,,9.5,,,
6/16/1996,34,14,,9.5,,,
7/11/1996,34,14,,9.5,,,
8/17/1996,34,14,,9.5,,,
4/15/1997,34,14,,9.5,,,
6/13/1997,39,17.5,,11,,,
6/25/1997,39,15.5,,10.5,,,
7/11/1997,39,15.5,465,10.5,,,
7/17/1998,40,16.5,465,10.5,,,
1/14/1999,40,15.5,465,10.5,,,
10/27/1999,40,23,465,13,,,
5/28/2000,40,23,465,13,,,
10/14/2000,47,27.5,550,26,,,
11/16/2000,47,27.5,550,22,,,
1/17/2001,46,26.5,550,17,,,
11/23/2002,52,26.5,650,17,,,
3/25/2003,56,35.5,700,28,,,
4/20/2003,56,33.5,700,27,,,
5/8/2003,54,31,700,24,,,
7/19/2004,56,35,750,28,58.896,38.656,14.432
8/12/2004,56,31,725,24,58.896,38.656,14.432
1/10/2005,62,41,850,36,60.56,42.048,14.432
2/12/2005,62,41,800,34,60.56,42.048,14.432
6/21/2005,62,41,900,34,64.784,42.32,14.432
8/18/2005,67,46,900,39,69.584,48.72,14.432
2/17/2006,67,52.5,900,47.65,69.584,48.72,14.48
3/3/2006,67.25,53.15,900,47.65,69.584,48.72,14.48
9/26/2006,67.25,53.15,900,47.65,74.96,48.72,14.544
10/31/2006,67.25,53.15,900,47.65,71.76,48.72,14.544
4/10/2007,67.25,53.15,900,47.65,68.56,48.4,14.544
8/5/2007,67.25,53.15,900,47.65,69.632,49.216,14.544
10/25/2007,73.5,56.25,900,51.2,69.632,49.216,14.544
10/25/2007,73.5,56.25,1100,51.2,69.632,49.216,14.544
11/8/2007,73.5,56.25,1100,51.2,69.632,49.216,14.544
12/6/2007,73.5,56.25,1100,51.2,69.632,49.216,14.544
12/26/2007,80,56.25,1100,51.2,69.632,49.216,14.544
5/14/2008,80,56.25,1100,51.2,72.896,50.88,14.544
6/4/2008,80,56.25,1100,51.2,72.896,50.88,14.544
6/9/2008,100,70,1200,65,80.896,55.68,14.544
10/25/2008,95,70,1200,65,80.992,55.68,14.544
11/1/2008,90,65,1200,65,80.992,55.68,14.544
12/3/2008,85.5,60.5,1200,60.5,80.992,55.776,14.544
12/26/2008,80.5,59.5,1150,59.5,72.992,52.576,14.544
2/2/2009,77.5,57.5,1125,57.5,64.992,49.376,14.544
3/3/2009,77.5,55,1125,55,64.992,49.376,14.544
11/17/2009,77.5,58,1125,58,71.552,52.592,14.544
1/8/2010,77.5,58,1250,58,71.552,52.592,14.544
2/6/2010,77.5,58,1250,58,71.552,52.592,14.544
2/17/2010,77.5,59,1250,59,75.888,52.592,14.544
3/14/2010,80,61,1250,61,75.888,56.752,14.544
4/22/2010,82,63,1250,63,76.688,60.816,14.544
5/11/2010,82,63,1250,63,76.688,60.816,14.544
7/6/2010,85,65.5,1250,65.5,82.288,64.16,19.712
12/6/2010,88,68.5,1325,68.5,84.656,60.4,19.712
12/18/2010,88,68.5,1325,68.5,84.656,60.4,19.712
3/12/2011,97,68.5,1325,68.5,93.392,60.4,19.712
5/7/2011,97,68.5,1325,68.5,93.392,60.4,19.712
6/11/2011,102,68.5,1325,68.5,93.392,65.792,23.728
7/10/2011,102,73.5,1325,73.5,101.392,65.456,23.728
8/26/2011,102,75,1325,75,101.92,65.456,23.728
10/10/2011,105,76,1325,76,106.272,65.456,23.728
1/18/2012,115,85,1500,85,105.024,65.456,23.728
1/26/2012,112,81,1415,81,105.024,65.456,23.728
2/24/2012,116,85,1415,85,105.024,65.456,23.728
3/26/2012,120,89,1415,89,105.024,65.456,23.728
6/19/2012,120,93,1415,93,108.448,66.064,23.728
