Fiscal Year AD,Petroleum Product,Sale of petroleum in KL
 2014/2015 AD,Petrol,283567
 2014/2015 AD,Diesel,901393
 2014/2015 AD,Kerosene,18628
 2014/2015 AD,Aviation Turbine Fuel,139404
 2014/2015 AD,Light Diesel Oil,0
 2014/2015 AD,Furnace Oil,0
 2014/2015 AD,LPG in MT,258299
 2014/2015 AD,Mineral Turpentine Oil,0
 2013/2014 AD,Petrol,251451
 2013/2014 AD,Diesel,811100
 2013/2014 AD,Kerosene,19064
 2013/2014 AD,Aviation Turbine Fuel,123527
 2013/2014 AD,Light Diesel Oil,0
 2013/2014 AD,Furnace Oil,0
 2013/2014 AD,LPG in MT,232660
 2013/2014 AD,Mineral Turpentine Oil,0
 2012/2013 AD,Petrol,221676
 2012/2013 AD,Diesel,716747
 2012/2013 AD,Kerosene,24721
 2012/2013 AD,Aviation Turbine Fuel,115786
 2012/2013 AD,Light Diesel Oil,258
 2012/2013 AD,Furnace Oil,2450
 2012/2013 AD,LPG in MT,207038
 2012/2013 AD,Mineral Turpentine Oil,0
2011/2012 AD,Petrol,199749
2011/2012 AD,Diesel,648513
2011/2012 AD,Kerosene,41808
2011/2012 AD,Aviation Turbine Fuel,109808
2011/2012 AD,Light Diesel Oil,0
2011/2012 AD,Furnace Oil,435
2011/2012 AD,LPG in MT,181411
2011/2012 AD,Mineral Turpentine Oil,0
2010/2011 AD ,Petrol,187641
2010/2011 AD ,Diesel,655128
2010/2011 AD ,Kerosene,49495
2010/2011 AD ,Aviation Turbine Fuel,101314
2010/2011 AD ,Light Diesel Oil,227
2010/2011 AD ,Furnace Oil,1415
2010/2011 AD ,LPG in MT,159286
2010/2011 AD ,Mineral Turpentine Oil,0
2009/2010 AD,Petrol,162275
2009/2010 AD,Diesel,612505
2009/2010 AD,Kerosene,55788
2009/2010 AD,Aviation Turbine Fuel,82631
2009/2010 AD,Light Diesel Oil,238
2009/2010 AD,Furnace Oil,2589
2009/2010 AD,LPG in MT,141171
2009/2010 AD,Mineral Turpentine Oil,0
2008/2009 AD,Petrol,124169
2008/2009 AD,Diesel,446468
2008/2009 AD,Kerosene,70089
2008/2009 AD,Aviation Turbine Fuel,68935
2008/2009 AD,Light Diesel Oil,377
2008/2009 AD,Furnace Oil,2171
2008/2009 AD,LPG in MT,115813
2008/2009 AD,Mineral Turpentine Oil,0
2007/2008 AD,Petrol,100842
2007/2008 AD,Diesel,302706
2007/2008 AD,Kerosene,155216
2007/2008 AD,Aviation Turbine Fuel,68938
2007/2008 AD,Light Diesel Oil,306
2007/2008 AD,Furnace Oil,2919
2007/2008 AD,LPG in MT,96837
2007/2008 AD,Mineral Turpentine Oil,0
2006/2007 AD,Petrol,101912
2006/2007 AD,Diesel,306687
2006/2007 AD,Kerosene,197850
2006/2007 AD,Aviation Turbine Fuel,63778
2006/2007 AD,Light Diesel Oil,179
2006/2007 AD,Furnace Oil,4558
2006/2007 AD,LPG in MT,93562
2006/2007 AD,Mineral Turpentine Oil,0
2005/2006 AD,Petrol,80989
2005/2006 AD,Diesel,294329
2005/2006 AD,Kerosene,226637
2005/2006 AD,Aviation Turbine Fuel,64335
2005/2006 AD,Light Diesel Oil,290
2005/2006 AD,Furnace Oil,3695
2005/2006 AD,LPG in MT,81005
2005/2006 AD,Mineral Turpentine Oil,0
2004/2005 AD,Petrol,75989
2004/2005 AD,Diesel,315368
2004/2005 AD,Kerosene,239328
2004/2005 AD,Aviation Turbine Fuel,66825
2004/2005 AD,Light Diesel Oil,88
2004/2005 AD,Furnace Oil,2696
2004/2005 AD,LPG in MT,77594
2004/2005 AD,Mineral Turpentine Oil,0
2003/2004 AD,Petrol,67586
2003/2004 AD,Diesel,299730
2003/2004 AD,Kerosene,310826
2003/2004 AD,Aviation Turbine Fuel,64041
2003/2004 AD,Light Diesel Oil,577
2003/2004 AD,Furnace Oil,12653
2003/2004 AD,LPG in MT,66142
2003/2004 AD,Mineral Turpentine Oil,36
2002/2003 AD,Petrol,67457
2002/2003 AD,Diesel,299973
2002/2003 AD,Kerosene,348620
2002/2003 AD,Aviation Turbine Fuel,52839
2002/2003 AD,Light Diesel Oil,610
2002/2003 AD,Furnace Oil,14496
2002/2003 AD,LPG in MT,56079
2002/2003 AD,Mineral Turpentine Oil,48
2001/2002 AD,Petrol,63271
2001/2002 AD,Diesel,286233
2001/2002 AD,Kerosene,386592
2001/2002 AD,Aviation Turbine Fuel,47453
2001/2002 AD,Light Diesel Oil,2413
2001/2002 AD,Furnace Oil,18255
2001/2002 AD,LPG in MT,48757
2001/2002 AD,Mineral Turpentine Oil,120
2000/2001 AD,Petrol,59245
2000/2001 AD,Diesel,326060
2000/2001 AD,Kerosene,316381
2000/2001 AD,Aviation Turbine Fuel,63131
2000/2001 AD,Light Diesel Oil,3416
2000/2001 AD,Furnace Oil,20934
2000/2001 AD,LPG in MT,40102
2000/2001 AD,Mineral Turpentine Oil,132
